x,y,phenotype,dataset
-0.41204336,0.5098111,Diseased,26
12.42839,18.754854,Diseased,26
14.324974,0.62236786,Diseased,26
12.978398,-0.5134704,Diseased,26
14.662748,-0.17757484,Diseased,26
11.704518,19.91902,Diseased,26
14.656781,-2.3183796,Diseased,26
15.147673,-1.337552,Diseased,26
12.658952,0.96936464,Diseased,26
14.117306,1.0742551,Diseased,26
-2.1225634,-0.2731293,Diseased,26
-4.6708446,14.005317,Diseased,26
13.672124,-0.06856716,Diseased,26
3.57879,16.797714,Diseased,26
13.236845,0.58078164,Diseased,26
15.55936,-0.5559742,Diseased,26
13.82461,-0.91831017,Diseased,26
12.876418,1.598421,Diseased,26
5.9987063,14.802636,Diseased,26
14.044158,-0.7685951,Diseased,26
-0.61526376,14.881071,Diseased,26
12.23962,-0.7600859,Diseased,26
13.642272,-0.55171007,Diseased,26
11.704839,19.917324,Diseased,26
14.525156,-0.49175164,Diseased,26
2.274148,16.042046,Diseased,26
3.6193025,9.001727,Diseased,48
15.45607,1.1472816,Diseased,26
1.2082784,16.038727,Control,81
15.007585,0.31353167,Diseased,26
-4.748127,9.949796,Diseased,26
-1.8342106,21.147837,Diseased,26
-5.2469172,13.668834,Diseased,26
14.912573,-0.26636738,Diseased,26
12.674028,-1.1621139,Diseased,26
12.721777,-0.18290257,Diseased,26
14.418689,-2.156012,Diseased,26
15.40257,0.9973188,Diseased,26
-2.1647153,14.643577,Diseased,26
1.8418101,17.993006,Control,81
12.8283,-1.3158273,Diseased,26
11.765272,-0.59515023,Diseased,26
3.6517608,18.632807,Diseased,26
5.281705,14.647962,Diseased,26
13.237603,-1.7446136,Diseased,26
13.752397,2.5220642,Diseased,26
-4.3888283,14.606166,Diseased,26
-5.3693705,2.0643253,Diseased,26
14.974032,16.555193,Diseased,26
13.674136,0.72253436,Diseased,26
11.719834,-0.77113515,Diseased,26
3.600582,18.602383,Control,81
13.4890785,0.387288,Diseased,26
14.1145525,-0.0635111,Diseased,26
12.560349,0.10095437,Diseased,26
13.178672,-1.6592411,Diseased,26
14.292508,-0.3980442,Diseased,26
12.73836,-1.3305343,Diseased,26
13.915819,-0.52468956,Diseased,26
13.669539,-1.699372,Diseased,26
