x,y,phenotype,dataset
15.025379,-15.580225,Diseased,26
-63.03957,8.881766,Control,81
15.025379,-15.580225,Diseased,26
-54.796482,-3.7368493,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-48.544888,-43.184803,Diseased,26
-41.095345,48.571907,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-20.549181,70.788925,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
4.9431257,79.73906,Diseased,26
15.025379,-15.580225,Diseased,26
-18.064472,75.213905,Diseased,26
-68.60094,-5.644263,Diseased,26
15.025379,-15.580225,Diseased,26
-15.477675,59.568382,Diseased,26
-62.14014,-15.87617,Diseased,26
-12.695353,60.0137,Diseased,26
38.8909,57.20163,Diseased,26
-40.786655,-6.3843775,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-48.32571,-20.947067,Diseased,26
-61.451477,-3.2396488,Diseased,26
-68.26193,-35.311935,Diseased,26
15.025379,-15.580225,Diseased,26
0.1968569,45.43699,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-56.0654,-24.638382,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-45.02696,-24.69221,Diseased,26
15.025379,-15.580225,Diseased,26
10.10403,35.058254,Diseased,26
15.025379,-15.580225,Diseased,26
52.726894,29.362936,Diseased,20
15.025379,-15.580225,Diseased,26
-34.39685,65.15596,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-48.965454,-12.190564,Diseased,26
71.27653,28.693727,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-45.52838,22.39709,Diseased,26
-12.290024,96.74057,Control,81
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-37.18351,-21.484364,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
23.093445,38.254765,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-47.512287,-27.356888,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-73.20058,15.234413,Diseased,26
15.025379,-15.580225,Diseased,26
-68.54928,-29.139963,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
37.436375,42.361088,Diseased,26
15.025379,-15.580225,Diseased,26
-77.929115,-8.720863,Control,81
69.035904,29.455444,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-4.967299,38.20653,Diseased,26
-36.31543,45.365845,Diseased,26
15.025379,-15.580225,Diseased,26
-66.972206,21.06283,Diseased,26
-26.086315,63.82447,Diseased,26
61.287395,23.470507,Diseased,52
-11.726223,61.847588,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-36.456028,61.048244,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-13.0994835,40.27695,Diseased,26
52.05263,35.298805,Diseased,26
-27.524178,50.87904,Diseased,26
-44.482525,58.140446,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-39.84735,15.693366,Diseased,26
-59.758755,-14.014639,Diseased,26
15.025379,-15.580225,Diseased,26
-24.16499,49.717945,Diseased,26
-77.86118,2.8040197,Control,81
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-76.66998,12.700691,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
60.797417,22.49707,Diseased,52
-5.668969,38.332092,Diseased,26
15.025379,-15.580225,Diseased,26
-19.26762,53.607647,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-70.658104,17.276957,Diseased,26
15.025379,-15.580225,Diseased,26
-58.407364,-16.085917,Control,81
-74.87256,24.644997,Control,81
15.025379,-15.580225,Diseased,26
69.76334,29.79749,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-71.99188,-3.0165186,Diseased,26
-34.61237,3.2594109,Diseased,26
48.798122,69.363945,Diseased,26
-6.462077,34.166496,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-4.966115,38.197342,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
37.209366,65.864174,Diseased,26
-3.039435,43.543983,Diseased,26
15.025379,-15.580225,Diseased,26
-67.42496,0.055691365,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-73.8383,24.863388,Diseased,26
15.025379,-15.580225,Diseased,26
-36.609245,15.399338,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-4.910763,38.73414,Diseased,26
15.025379,-15.580225,Diseased,26
-54.951687,-3.7385657,Diseased,26
63.538254,25.747057,Diseased,48
15.025379,-15.580225,Diseased,26
-49.138927,-6.9025383,Control,81
15.025379,-15.580225,Diseased,26
-17.85982,69.163864,Diseased,26
-44.889336,53.70706,Diseased,26
-3.7966871,51.008945,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-27.38568,23.547861,Diseased,26
-61.271835,-17.144964,Control,81
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-78.97599,-10.867311,Diseased,26
-68.45539,21.882421,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-5.891869,32.443527,Diseased,26
28.138409,38.372948,Diseased,26
-2.5253446,76.274055,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-78.5368,-10.85514,Control,81
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-12.099908,80.1571,Diseased,26
15.025379,-15.580225,Diseased,26
-12.512787,44.57877,Diseased,26
15.025379,-15.580225,Diseased,26
-84.76217,-10.290665,Control,81
15.025379,-15.580225,Diseased,26
4.7150497,82.133644,Diseased,26
-83.72687,-10.467045,Diseased,26
15.025379,-15.580225,Diseased,26
-8.741288,94.7154,Control,81
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-52.31273,-30.360422,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-40.61394,-30.804277,Diseased,26
-36.933353,14.975482,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
34.433594,51.64494,Diseased,26
15.025379,-15.580225,Diseased,26
-80.62726,3.5953424,Control,81
15.025379,-15.580225,Diseased,26
-9.290118,80.15551,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-47.48954,-26.92573,Diseased,26
15.025379,-15.580225,Diseased,26
-12.844973,48.598274,Diseased,26
15.025379,-15.580225,Diseased,26
4.997236,79.391846,Diseased,26
-55.941387,0.12628968,Diseased,26
15.025379,-15.580225,Diseased,26
-51.507183,10.927703,Diseased,26
-17.310638,71.421776,Diseased,26
-27.643995,37.986233,Diseased,26
32.733517,48.80911,Diseased,26
-71.51157,-3.0939152,Diseased,26
34.75244,51.56447,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-70.47496,-4.0974092,Control,81
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-68.02551,5.354361,Diseased,26
15.025379,-15.580225,Diseased,26
-69.90728,-4.4006915,Diseased,26
-66.946846,-34.927277,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
41.804913,29.632145,Diseased,48
-55.357895,-31.55914,Diseased,26
15.025379,-15.580225,Diseased,26
71.79904,28.20671,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-39.83056,50.711517,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-5.576062,28.638027,Diseased,26
-56.80782,-21.984583,Diseased,26
-59.391552,-16.845255,Diseased,26
15.025379,-15.580225,Diseased,26
-66.23339,-30.89837,Control,81
-45.79455,-10.89865,Diseased,26
15.025379,-15.580225,Diseased,26
-52.918694,-38.651966,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
4.7148094,82.13292,Diseased,26
15.025379,-15.580225,Diseased,26
-44.52511,-32.567604,Diseased,26
15.025379,-15.580225,Diseased,26
-58.681217,13.070885,Control,81
-79.67441,-12.831807,Control,81
